"","barcode","genotype","genotype_name","treatment","replicate","day","timestamp","height_cm","height_pixels","height_above_reference_cm","height_above_reference_pixels","area_cm2","area_pixels","width_pixels","width_cm","hue_circular_mean_degrees"
"1","Ea001AA114179","G1","b73","Control",1,0,"2022-06-08T14:10:01.925000Z",7.32307692307692,238,6.24615384615385,203,6.62390532544379,6996.5,216,6.64615384615385,86.1921799737117
"2","Ea001AA114179","G1","b73","Control",1,1,"2022-06-09T14:33:56.138000Z",11.8153846153846,384,10.6769230769231,347,10.3001183431953,10879.5,297,9.13846153846154,85.1925519537113
"3","Ea001AA114179","G1","b73","Control",1,2,"2022-06-10T14:25:58.404000Z",16,520,15.5384615384615,505,13.7188165680473,14490.5,367,11.2923076923077,86.3039865934637
"4","Ea001AA114179","G1","b73","Control",1,3,"2022-06-11T12:44:32.271000Z",16.4307692307692,534,16.3076923076923,530,17.2373964497041,18207,595,18.3076923076923,86.9510146741105
"5","Ea001AA114179","G1","b73","Control",1,4,"2022-06-12T12:36:42.150000Z",19.8461538461538,645,19.7230769230769,641,22.1770414201183,23424.5,677,20.8307692307692,86.5652950059411
"6","Ea001AA114179","G1","b73","Control",1,5,"2022-06-13T13:00:14.340000Z",25.9692307692308,844,25.9384615384615,843,28.3512426035503,29946,643,19.7846153846154,87.9584033715687
"7","Ea001AA114179","G1","b73","Control",1,6,"2022-06-14T12:52:21.827000Z",28.5230769230769,927,28.1538461538462,915,38.3162130177515,40471.5,944,29.0461538461538,88.3998051642849
"8","Ea001AA114179","G1","b73","Control",1,7,"2022-06-15T13:15:57.271000Z",28.2461538461538,918,27.8461538461538,905,44.3848520710059,46881.5,1023,31.4769230769231,88.3568720975852
"9","Ea001AA114179","G1","b73","Control",1,8,"2022-06-16T13:08:05.591000Z",29.4461538461538,957,28.9538461538462,941,49.1095857988166,51872,1005,30.9230769230769,89.3993465941313
"10","Ea001AA114179","G1","b73","Control",1,9,"2022-06-17T13:08:00.073000Z",30.0307692307692,976,29.8153846153846,969,54.8411834319527,57926,1157,35.6,89.5123800417851
"11","Ea001AA114179","G1","b73","Control",1,10,"2022-06-18T13:08:14.613000Z",37.0461538461538,1204,36.8615384615385,1198,75.2421301775148,79474.5,1096,33.7230769230769,89.8242748686406
"12","Ea001AA114179","G1","b73","Control",1,11,"2022-06-19T14:14:32.253000Z",35.5076923076923,1154,35.0769230769231,1140,86.8463905325444,91731.5,1391,42.8,90.2780014726459
"13","Ea001AA114179","G1","b73","Control",1,12,"2022-06-20T13:08:08.725000Z",41.7846153846154,1358,39.0153846153846,1268,108.505562130177,114609,1452,44.6769230769231,90.3868074910565
"14","Ea001AA114180","G1","b73","Control",2,0,"2022-06-08T15:58:54.218000Z",7.38461538461539,240,6.30769230769231,205,7.09065088757396,7489.5,283,8.70769230769231,87.8756801400559
"15","Ea001AA114180","G1","b73","Control",2,1,"2022-06-09T15:51:16.044000Z",12.7076923076923,413,11.6615384615385,379,9.54556213017751,10082.5,399,12.2769230769231,86.3805081095593
"16","Ea001AA114180","G1","b73","Control",2,2,"2022-06-10T16:14:40.480000Z",16.9846153846154,552,16.0615384615385,522,15.5289940828402,16402.5,553,17.0153846153846,87.8615555865384
"17","Ea001AA114180","G1","b73","Control",2,3,"2022-06-11T16:06:50.834000Z",17.0153846153846,553,16.1538461538462,525,21.6312426035503,22848,693,21.3230769230769,87.6496657960323
"18","Ea001AA114180","G1","b73","Control",2,4,"2022-06-12T16:30:26.807000Z",23.2615384615385,756,22.4307692307692,729,24.6461538461538,26032.5,903,27.7846153846154,88.9599935471522
"19","Ea001AA114180","G1","b73","Control",2,5,"2022-06-13T16:22:50.109000Z",28.5538461538462,928,27.7230769230769,901,37.2923076923077,39390,897,27.6,89.4877942539891
"20","Ea001AA114180","G1","b73","Control",2,6,"2022-06-14T16:46:20.299000Z",26.1538461538462,850,25.0769230769231,815,47.1285207100592,49779.5,1341,41.2615384615385,89.8661416431142
"21","Ea001AA114180","G1","b73","Control",2,7,"2022-06-15T16:38:30.369000Z",29.2,949,28.1230769230769,914,58.6575147928994,61957,1431,44.0307692307692,91.1685081185081
"22","Ea001AA114180","G1","b73","Control",2,8,"2022-06-16T17:01:59.611000Z",32.2769230769231,1049,31.3538461538462,1019,73.6639053254438,77807.5,1635,50.3076923076923,92.0237987539631
"23","Ea001AA114180","G1","b73","Control",2,9,"2022-06-17T17:01:36.387000Z",37.5692307692308,1221,37.1076923076923,1206,97.5801183431953,103069,1781,54.8,92.4255213415713
"24","Ea001AA114180","G1","b73","Control",2,10,"2022-06-18T19:25:10.439000Z",37.7538461538461,1227,37.5692307692308,1221,126.059171597633,133150,1777,54.6769230769231,93.5657048514894
"25","Ea001AA114180","G1","b73","Control",2,11,"2022-06-19T17:48:16.655000Z",39.2,1274,38.8923076923077,1264,142.512662721893,150529,1878,57.7846153846154,93.5802603011471
"26","Ea001AA114180","G1","b73","Control",2,12,"2022-06-20T17:02:01.622000Z",41.3538461538462,1344,40.6153846153846,1320,156.649940828402,165461.5,1993,61.3230769230769,94.6395899770547
