background	greenplant	purpleplant
202,206,205	127,169,77	167,153,137
198,207,200	125,168,78	169,138,137
197,208,196	118,169,73	169,150,133
197,208,194	121,170,73	170,135,137
194,208,188	121,170,73	167,151,137
195,207,193	127,171,74	165,144,143
191,207,193	130,172,74	166,152,141
187,206,193	124,173,71	167,142,141
191,207,195	123,172,70	168,149,139
79,83,71	133,170,69	152,127,111
79,78,66	134,172,70	152,127,117
83,82,55	132,173,70	154,132,119
86,81,64	136,174,72	156,122,121
83,82,70	135,177,71	155,130,120
83,77,76	145,177,80	157,129,122
83,82,75	152,177,90	156,130,126
87,80,79	154,179,91	155,131,124
84,81,80	141,179,88	154,134,121
195,207,195	120,165,80	139,119,115
198,208,198	122,165,80	137,117,109
202,208,206	122,165,75	137,120,99
205,209,205	125,163,78	137,117,106
207,208,202	122,165,75	139,119,111
205,210,198	122,166,73	142,108,104
196,209,192	119,166,72	142,120,96
194,208,193	117,164,71	142,121,99
196,210,191	117,166,66	140,118,103
108,117,103	134,178,68	154,128,107
103,119,113	136,177,67	155,127,115
112,109,120	138,178,63	156,125,121
125,108,110	144,179,68	155,128,118
117,104,99	141,178,70	156,124,115
111,101,96	140,179,66	156,125,112
111,109,87	137,179,60	152,124,111
108,114,96	145,177,65	149,133,118
111,120,99	143,178,66	147,128,121
60,54,58	112,146,80	140,115,101
55,54,53	111,145,75	142,108,104
48,52,52	108,144,70	140,112,104
40,52,44	112,142,76	139,104,103
47,53,45	109,141,76	136,109,98
47,53,45	112,140,74	133,96,99
60,59,52	108,139,67	122,102,101
66,55,48	105,138,75	111,96,100
60,49,42	105,139,76	106,92,90
55,91,140	148,182,75	132,113,118
51,84,146	140,181,71	132,113,111
53,91,142	130,182,64	131,119,100
52,81,140	137,181,64	131,122,103
50,76,137	138,182,63	129,117,108
46,72,132	140,181,63	130,110,113
44,70,130	138,179,70	132,113,111
42,70,125	141,180,76	134,105,111
45,73,112	145,180,69	129,113,109
66,65,53	220,174,95	137,122,106
66,65,47	219,178,97	137,122,108
70,64,52	218,178,97	136,131,105
66,65,58	218,181,94	128,136,100
60,64,63	218,177,94	117,134,108
58,62,66	219,177,91	128,138,113
60,64,63	220,174,94	140,141,117
60,59,52	219,179,98	146,140,117
66,49,65	218,177,96	150,136,117
91,89,93	218,177,95	117,111,106
100,93,87	218,174,97	111,108,107
94,91,81	218,171,100	111,101,108
85,98,81	218,175,100	111,101,104
88,90,90	219,175,99	111,108,103
91,93,87	218,171,98	108,105,100
79,92,75	218,166,95	106,103,102
69,98,77	218,172,91	96,102,100
76,86,91	218,170,96	94,107,97
70,104,152	154,182,91	112,105,90
71,107,150	146,183,88	112,105,90
78,111,149	155,180,97	116,95,93
83,109,150	158,181,98	121,97,91
78,111,148	154,179,96	121,93,92
72,110,148	149,177,105	118,101,91
78,108,149	150,177,111	121,100,91
80,106,153	147,179,102	123,106,89
79,103,154	150,179,97	121,111,89
222,223,218	196,143,94	111,105,82
219,224,219	190,129,91	114,100,89
216,224,211	190,134,81	116,95,89
211,225,197	189,130,74	114,104,89
218,224,206	191,137,64	114,108,88
215,224,208	192,139,67	116,106,87
214,224,206	193,140,68	121,104,94
218,224,205	195,143,72	118,101,98
223,224,215	192,139,75	118,97,91
99,78,54	134,175,79	87,85,59
102,78,44	135,175,75	91,89,58
105,72,58	132,175,68	94,75,54
102,73,68	131,175,73	100,66,59
102,73,63	136,176,77	91,71,65
105,72,58	143,176,81	84,68,61
110,72,57	137,177,78	84,68,51
110,76,57	139,176,84	84,68,51
110,80,60	139,176,86	80,64,52
193,200,193	184,191,93	111,99,70
180,201,187	182,193,89	111,102,74
183,203,186	184,192,89	111,94,75
197,204,189	186,191,95	111,91,76
195,201,190	187,192,98	111,90,71
193,198,190	192,187,98	111,87,76
196,199,186	193,188,97	111,90,80
191,200,186	195,190,92	111,90,84
190,202,192	198,183,88	108,95,84
204,217,209	177,191,86	108,91,68
208,216,214	169,187,92	108,87,68
210,217,212	163,185,97	106,93,64
208,216,210	157,182,98	106,96,64
206,216,208	161,182,97	106,93,64
205,216,205	167,182,100	106,93,64
206,216,208	161,180,99	100,94,65
211,215,213	151,179,102	97,95,65
208,216,207	150,179,103	100,82,66
207,218,204	124,175,70	137,132,105
211,218,207	126,175,73	137,134,104
213,218,211	129,175,75	131,135,104
218,215,216	134,175,79	122,135,99
216,215,215	131,173,81	135,136,98
208,217,209	132,174,77	140,132,103
212,219,208	126,175,68	140,131,106
219,219,206	126,175,73	140,134,106
211,218,198	131,175,79	140,141,105
232,235,226	194,136,74	87,72,60
239,236,224	195,145,74	91,81,64
238,234,225	196,142,76	94,75,63
228,234,224	194,153,77	97,70,63
231,234,228	192,153,81	91,67,65
233,235,227	195,152,86	80,68,67
238,236,224	197,150,93	80,68,67
243,232,225	198,151,101	80,68,67
235,235,225	199,161,111	76,60,68
126,133,127	126,158,65	141,124,108
127,131,125	121,160,62	143,129,107
134,131,125	122,158,62	144,135,108
135,129,120	115,159,56	141,124,112
134,134,121	113,159,58	138,120,114
128,132,118	115,161,60	138,126,110
130,124,114	127,161,61	138,129,113
128,128,122	120,163,54	137,134,115
126,133,120	119,164,58	137,131,121
104,119,104	112,155,74	133,109,104
102,120,102	115,154,75	131,113,104
104,119,101	117,153,78	131,117,104
104,119,101	113,154,72	134,110,102
99,118,100	118,155,73	137,102,97
112,120,102	122,157,70	134,111,96
123,113,107	117,159,66	133,116,100
113,107,113	116,159,63	133,109,100
100,111,110	116,159,63	135,98,104
202,211,207	102,144,90	117,90,89
200,209,189	105,145,92	115,91,90
188,196,184	107,147,91	120,101,87
182,168,154	113,146,95	124,98,82
158,131,96	121,144,97	120,93,77
123,102,96	115,142,95	115,95,89
113,97,70	110,139,98	115,94,97
103,85,78	104,141,97	115,94,97
97,86,80	98,139,89	115,99,97
204,212,197	142,176,127	132,109,108
208,199,170	139,175,112	128,112,111
186,169,144	143,171,100	126,110,109
153,120,140	147,166,106	125,101,111
134,113,93	137,165,100	122,109,108
107,112,97	135,161,96	122,109,104
109,102,92	123,160,86	126,107,98
107,92,90	114,160,88	129,101,96
106,97,86	115,160,91	122,106,101
207,221,208	107,158,66	124,112,99
203,220,203	113,158,68	129,101,96
207,219,200	117,158,67	127,99,97
205,216,197	111,157,66	126,104,99
202,212,194	110,153,67	129,98,93
211,210,196	120,151,73	131,100,92
210,205,205	114,154,65	131,97,92
208,208,207	114,152,67	131,100,99
198,214,208	102,154,65	129,101,104
231,236,225	112,154,85	106,80,84
230,235,223	117,154,88	100,82,80
228,235,219	119,154,91	103,85,79
229,235,222	121,155,97	106,80,79
232,234,224	125,155,101	108,71,79
231,235,224	128,155,104	108,75,83
238,236,231	122,158,102	106,76,88
242,230,233	125,160,108	100,81,85
233,234,228	129,160,110	100,86,80
231,236,225	119,147,96	115,94,94
231,236,227	120,146,101	117,90,89
231,236,228	120,143,100	117,94,81
235,236,228	112,143,91	120,90,84
238,236,230	107,142,91	115,91,90
237,236,229	105,140,96	113,96,95
232,237,229	102,138,91	117,97,92
231,232,233	108,137,91	122,92,87
231,233,231	108,138,90	120,90,81
61,64,62	104,141,97	140,134,106
70,73,71	98,139,89	140,141,105
80,83,76	142,176,127	87,72,60
91,88,82	139,175,112	91,81,64
85,87,86	143,171,100	94,75,63
87,75,79	147,166,106	97,70,63
80,83,70	137,165,100	91,67,65
74,82,69	135,161,96	80,68,67
74,82,64	123,160,86	80,68,67
55,44,47	114,160,88	80,68,67
48,47,46	115,160,91	76,60,68
48,47,39	107,158,66	141,124,108
41,46,27	113,158,68	143,129,107
41,46,33	117,158,67	144,135,108
41,46,38	111,157,66	141,124,112
48,42,40	110,153,67	138,120,114
41,46,33	120,151,73	138,126,110
41,41,45	114,154,65	138,129,113
204,217,221	114,152,67	137,134,115
208,223,205	102,154,65	137,131,121
204,209,208	112,154,85	133,109,104
203,181,168	104,141,97	131,113,104
177,141,105	98,139,89	131,117,104
137,103,118	142,176,127	134,110,102
123,99,93	139,175,112	137,102,97
107,92,90	143,171,100	134,111,96
97,87,75	147,166,106	133,116,100
182,196,188	137,165,100	133,109,100
178,197,188	135,161,96	135,98,104
177,196,189	123,160,86	140,134,106
174,197,185	114,160,88	140,141,105
175,195,191	115,160,91	87,72,60
172,196,191	107,158,66	91,81,64
169,195,188	113,158,68	94,75,63
161,197,181	117,158,67	97,70,63
162,194,186	111,157,66	91,67,65
206,216,215	110,153,67	80,68,67
201,214,216	120,151,73	80,68,67
201,210,218	114,154,65	80,68,67
207,215,218	114,152,67	76,60,68
211,219,217	102,154,65	141,124,108
208,222,215	112,154,85	143,129,107
208,220,219	104,141,97	144,135,108
209,220,220	98,139,89	141,124,112
208,216,220	142,176,127	138,120,114
94,87,85	139,175,112	138,126,110
91,85,73	143,171,100	138,129,113
87,80,83	147,166,106	137,134,115
75,72,86	137,165,100	137,131,121
68,71,75	135,161,96	133,109,104
80,78,60	123,160,86	131,113,104
84,77,70	114,160,88	131,117,104
84,77,75	115,160,91	134,110,102
76,78,82	107,158,66	137,102,97
87,75,74	113,158,68	134,111,96
87,75,74	117,158,67	133,116,100
87,75,74	111,157,66	133,109,100
84,82,65	110,153,67	135,98,104
84,87,54	120,151,73	140,134,106
80,83,59	114,154,65	140,141,105
80,73,71	114,152,67	87,72,60
80,78,71	102,154,65	91,81,64
84,82,65	112,154,85	94,75,63
180,199,199	125,168,78	149,130,135
176,201,196	124,170,78	150,133,132
180,201,199	119,170,75	150,126,133
182,203,195	121,170,73	149,130,132
176,202,192	123,171,75	149,116,133
173,202,187	123,171,75	147,130,129
175,202,186	126,171,76	146,126,131
172,203,186	122,171,74	145,136,135
183,202,195	123,170,76	147,125,139
83,87,75	133,172,67	151,120,110
86,85,68	139,173,73	150,126,111
86,85,64	136,174,72	152,122,109
86,85,68	136,174,76	154,121,111
86,85,74	138,176,79	152,121,112
83,82,75	146,177,85	151,125,115
91,80,79	147,177,88	150,119,117
94,83,77	148,177,93	149,128,115
84,81,80	147,178,91	151,124,113
190,205,191	117,167,73	129,113,109
180,205,190	112,166,71	124,117,109
190,205,203	109,165,71	127,111,107
193,205,201	107,163,70	131,116,103
194,205,196	117,163,72	133,115,103
191,206,195	122,166,74	133,112,100
191,206,197	120,166,75	134,107,99
187,206,197	123,166,77	134,107,96
191,206,200	120,166,75	131,103,98
108,117,112	140,180,71	151,125,104
104,116,106	143,181,70	151,128,112
115,116,111	143,181,70	155,124,120
120,111,106	139,180,69	157,122,118
115,101,108	139,180,69	155,122,116
106,108,107	138,180,67	154,124,111
108,114,100	146,182,67	152,124,106
106,115,98	153,182,70	152,122,103
117,119,101	151,183,71	151,126,102
54,53,57	110,147,78	129,103,103
48,52,56	111,145,75	129,103,103
48,52,56	111,145,67	129,94,100
48,52,56	111,142,78	129,98,97
55,54,53	114,140,87	126,93,96
55,49,47	111,139,83	122,95,95
54,54,41	107,139,80	117,104,91
54,60,40	105,138,77	111,97,91
54,54,41	110,139,76	108,89,93
50,89,141	141,179,68	134,102,108
48,86,146	137,179,67	131,106,105
49,84,140	127,179,61	129,110,102
48,77,134	136,178,65	127,112,103
49,72,128	134,180,61	125,104,110
48,66,121	139,179,63	120,110,113
41,71,119	141,180,66	122,109,111
48,73,120	142,179,70	124,108,110
56,76,115	140,179,66	122,109,111
60,64,51	219,175,98	134,123,104
66,65,47	218,178,97	134,123,100
66,65,53	218,182,98	134,123,100
66,65,58	218,178,98	131,132,101
66,65,63	218,174,98	123,131,114
64,58,68	219,178,96	131,134,125
60,64,63	220,175,95	138,134,123
60,64,63	219,174,96	143,134,116
54,58,62	218,171,99	147,127,110
94,91,85	217,177,96	115,109,104
97,94,79	218,174,96	108,101,105
97,94,79	218,173,95	108,98,101
97,99,83	220,171,97	111,86,101
97,99,89	221,170,93	111,97,100
97,94,84	220,169,91	111,104,99
85,98,77	219,173,91	108,101,100
72,93,82	219,173,91	106,99,103
83,94,88	219,173,93	96,98,101
69,108,147	161,181,98	113,93,66
63,108,147	150,181,94	111,94,80
73,106,150	161,180,99	114,93,90
82,107,151	167,182,100	116,95,85
75,99,150	161,180,99	115,96,81
66,104,148	154,178,104	115,96,81
70,102,151	151,178,109	115,96,81
76,105,151	152,180,101	115,103,76
78,107,151	156,181,98	113,104,69
215,223,215	192,131,89	103,101,81
218,222,222	188,134,82	106,97,86
223,224,217	188,133,75	108,95,84
219,224,204	188,139,71	108,95,84
221,224,211	191,143,67	107,100,89
217,224,210	194,141,68	114,93,87
218,224,208	195,142,70	121,93,87
215,224,206	196,140,71	118,93,91
216,224,211	192,138,72	114,96,90
112,86,64	136,175,88	91,89,58
116,80,59	139,176,84	87,85,59
121,83,62	133,175,78	94,75,59
120,83,66	130,175,78	100,74,63
117,87,66	137,177,78	94,79,68
122,79,70	146,177,84	87,72,65
126,85,68	137,178,83	87,72,60
129,77,71	133,175,84	84,73,60
131,82,70	137,175,85	87,68,61
188,201,188	186,191,94	111,94,75
187,202,186	185,192,93	111,98,75
192,204,185	178,191,92	111,94,80
200,203,189	171,189,92	108,95,75
198,201,193	182,192,95	108,91,76
203,197,196	192,190,96	108,95,75
200,199,182	194,189,94	111,98,75
194,200,184	196,187,92	111,98,79
191,202,184	200,181,90	111,94,80
202,217,202	186,195,79	113,97,70
205,216,208	171,191,85	108,95,71
210,217,212	166,189,95	111,94,71
205,216,208	161,186,95	111,95,67
206,216,211	160,185,93	111,90,67
206,216,211	161,183,95	108,91,68
207,215,208	159,180,95	106,93,72
206,216,203	152,179,98	103,93,69
204,216,206	152,180,103	106,85,65
211,219,203	128,177,70	138,130,101
212,219,205	129,177,73	140,122,104
215,218,211	129,175,75	137,134,104
215,208,217	124,174,76	131,135,94
